time,open,high,low,close,volume
1780289100,4515,4515,4510.1,4514,10.1156
1780290000,4514.9,4518,4514.1,4517.5,11.6529
1780290900,4519.6,4522.5,4519.6,4522.5,22.3639
1780291800,4521.4,4521.4,4514.5,4519.5,9.5528
1780292700,4519.2,4524,4519.2,4519.3,12.0067
1780293600,4517.9,4518.6,4513.9,4515,17.5037
1780294500,4514.9,4515.1,4505.9,4513.1,72.581
1780295400,4513.2,4513.2,4504,4504.6,247.9221
1780296300,4503.9,4504.5,4502.2,4502.3,52.4604
1780297200,4502.2,4509.8,4501.7,4509,137.413
1780298100,4508.2,4508.2,4502.2,4503.5,379.2081
1780299000,4504.5,4505.7,4499.6,4499.7,60.2584
1780299900,4499.6,4502.1,4493.3,4502.1,152.2709
1780300800,4502.5,4503.6,4494.1,4496.4,34.8481
1780301700,4496.7,4496.7,4492.3,4495.7,23.881
1780302600,4495.7,4499,4493.6,4499,7.9884
1780303500,4499.2,4501.3,4497,4497.5,44.6657
1780304400,4497.9,4500,4497.9,4499.6,67.9655
1780305300,4499.2,4506.2,4497.5,4497.5,25.949
1780306200,4497.5,4497.6,4491.3,4497.2,61.1342
1780307100,4498,4498,4494.8,4495.9,30.3096
1780308000,4496,4502.5,4496,4501.4,17.2026
1780308900,4501.9,4503,4498.1,4502.7,22.174
1780309800,4501.2,4507.5,4501.1,4506.9,79.2976
1780310700,4506.4,4511,4504.4,4504.4,88.2563
1780311600,4505,4507.2,4501.1,4504.6,12.076
1780312500,4505,4513.1,4505,4511,33.7604
1780313400,4510.8,4511.2,4507.1,4507.9,98.3049
1780314300,4508.2,4509.7,4506.6,4506.6,12.9216
1780315200,4505.7,4509.7,4504.1,4504.9,116.0586
1780316100,4504,4506.9,4499.7,4505.7,34.5054
1780317000,4505.2,4507.6,4499.2,4507.6,22.6849
1780317900,4507.6,4509.5,4500.1,4502.5,21.0231
1780318800,4503.4,4504.4,4475,4485.9,290.6589
1780319700,4485.8,4489.9,4465,4467.5,536.01
1780320600,4466.4,4478.5,4461.3,4469.7,358.0465
1780321500,4469.3,4470.8,4450.8,4452.5,455.6052
1780322400,4451.1,4463.3,4450,4463.2,155.3117
1780323300,4463.3,4466.2,4452.6,4457.3,142.3986
1780324200,4458,4462.6,4456,4462.2,53.3957
1780325100,4461.9,4461.9,4455.2,4458.5,37.3707
1780326000,4461.8,4467,4458.3,4466,141.0316
1780326900,4467,4472.3,4466.3,4470.5,188.0984
1780327800,4470.4,4480.5,4470.3,4473.2,178.8942
1780328700,4474.3,4477,4470.9,4475.2,104.4035
1780329600,4475.9,4478.8,4468,4470.1,519.9661
1780330500,4470,4471.8,4466,4470.5,271.7627
1780331400,4470.4,4473.7,4470,4470.1,364.9772
1780332300,4470,4484,4469.9,4482.6,194.4495
1780333200,4482.9,4482.9,4474.5,4477.7,51.4347
1780334100,4477.7,4483.5,4475.5,4483.2,39.9322
1780335000,4483.6,4492.1,4483.5,4492,155.5252
1780335900,4492.1,4496.6,4489.6,4489.6,36.1001
1780336800,4489.3,4491.1,4488.5,4490.7,116.4515
1780337700,4490.6,4491.1,4488.4,4488.5,9.2533
1780338600,4488.8,4489.5,4487.2,4489.5,12.7859
1780339500,4489.4,4491.7,4489.2,4489.2,265.2147
1780340400,4489.2,4489.8,4486.6,4487.6,20.5392
1780341300,4487.5,4488,4486.8,4487.1,35.1751
1780342200,4487.1,4487.5,4484.9,4485.6,11.1372
1780343100,4485.6,4485.6,4481,4482.3,30.465
1780344000,4482.2,4485.4,4482.2,4485.3,4.1323
1780344900,4485.3,4485.7,4484.3,4484.8,11.2728
1780345800,4484.2,4486.4,4483.9,4484.5,18.197
1780346700,4484.4,4486.3,4483.2,4485.7,10.5255
1780347600,4485.6,4486.3,4482,4484.8,62.6701
1780348500,4484.7,4484.8,4483.3,4484.7,6.8728
1780349400,4484.6,4484.9,4483.1,4483.9,6.2114
1780350300,4483.9,4487.7,4483.9,4486,99.3677
1780351200,4486,4487.7,4482.5,4486.4,152.3499
1780352100,4486.3,4487.8,4483.6,4483.7,40.8365
1780353000,4483.5,4485.1,4483.2,4483.5,2.4652
1780353900,4483.4,4488.1,4483.4,4488.1,9.5468
1780354800,4487.6,4488.8,4484.3,4487,7.7966
1780355700,4486.9,4491.1,4486.9,4489.9,55.5081
1780356600,4489.8,4489.9,4483.8,4486.9,27.1594
1780357500,4486.1,4487.9,4481.8,4486.8,6.0375
1780358400,4486.7,4487.1,4479.9,4483.3,21.7991
1780359300,4483.2,4494.9,4483.2,4494.9,23.3305
1780360200,4494.5,4498.5,4487.9,4489.1,56.3297
1780361100,4489,4489.6,4482.8,4482.9,25.0589
1780362000,4482.8,4493.5,4475.9,4492.7,85.3408
1780362900,4492.1,4493.1,4484.1,4488.6,40.0664
1780363800,4490.2,4491,4482.3,4482.6,57.4877
1780364700,4482.5,4484.1,4466.4,4477,116.4184
1780365600,4477,4481.9,4474.6,4480.2,21.086
1780366500,4481,4486.2,4480.3,4484.2,33.2415
1780367400,4485.5,4486.6,4477.8,4479.8,18.4995
1780368300,4478.8,4486.2,4472.3,4486.2,803.1889
1780369200,4486.2,4492.8,4486.1,4489.9,775.3456
1780370100,4489.8,4498.5,4488.6,4497.6,32.8402
1780371000,4497.3,4500,4496.2,4499,23.5151
1780371900,4498.9,4500.8,4498.9,4500.8,40.4252
